frame,left_shoulder_roll_joint,left_shoulder_pitch_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_arm_extension_raw,right_shoulder_roll_joint,right_shoulder_pitch_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_arm_extension_raw,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,L_thumb,L_index,L_middle,L_ring,L_pinky,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,R_thumb,R_index,R_middle,R_ring,R_pinky
101,7.6309580914374635,-0.9911439259546823,0.13279203854587743,139.66781171399282,1.0511077219574922,10.673407040937246,-0.9826988555308425,-0.18521049121667651,163.37319453768177,1.1011001194922125,,,,,,,,,,,,,,,,
102,,,,,,6.5902890308005855,-0.9933922226263188,-0.1147685368204993,178.9206920184809,1.1880872130327114,,,,,,,,,,,,,,,,
103,6.277723076236654,-0.9940035368411243,0.10934786123557554,149.61328693863078,1.2786804654711807,5.916128442428003,-0.9946738333200325,-0.10307230492663973,174.8662313082334,1.240804894833581,,,,,,,,,,,,,,,,
104,6.753738341352836,-0.9930607773496345,0.11760202593999114,152.42229184901615,1.3815500632788553,5.618425753719095,-0.9951959582041827,-0.0979028572696727,165.37894657219314,1.3190324721379687,,,,,,,,,,,,,,,,
105,7.1725980190879834,-0.9921745201461882,0.12485905285489957,159.96697064878254,1.519911033830177,4.375083438446066,-0.9970860124490929,-0.07628555026925518,166.67029943764777,1.4225804096598558,,,,,,,,,,,,,,,,
106,7.256463376743525,-0.9919906986038807,0.1263111746343259,165.57592238696384,1.5389942047258722,15.139686147985188,-0.9974904891288116,-0.07080088780704069,166.74872804654677,1.4901145052325762,,,,,,,,,,,,,,,,
107,16.033076626198632,-0.980238268771135,0.19782052117799356,174.93541138734955,1.7093263931849592,17.69116819717497,-0.9932087187963652,-0.11634632942051847,177.8455892533691,1.6737677947808411,,,,,,,,,,,,,,,,
108,15.193502433560077,-0.9859344973159159,0.167132169739632,173.5780021671336,1.7654173906718562,16.81861021206909,-0.9910075583198911,-0.1338056135833102,179.3765523734162,1.682748097773516,,,,,,,,,,,,,,,,
109,12.220010254545375,-0.9936496917848625,0.11251758934818132,170.21246882003828,1.8459535736427757,15.969209601052196,-0.9917662962753231,-0.1280609014485073,178.57066277103732,1.7613756215002432,,,,,,,,,,,,,,,,
110,11.922030660544808,-0.9923441440587664,0.12350339231381757,172.3701493433005,1.9145124575058678,16.403875646142904,-0.9923875982683985,-0.12315341014938276,178.70281082728857,1.8202661484608507,,,,,,,,,,,,,,,,
111,12.095636340227106,-0.9933364021908042,0.11525068191572266,171.61807770000357,1.8948248145351416,15.889599937870729,-0.9911632039253653,-0.1326482059301344,179.88614791503417,1.8353708729293572,,,,,,,,,,,,,,,,
112,12.242281521368831,-0.9921691056087325,0.12490147903061422,172.39863810812287,1.9165389520824962,16.47754344421253,-0.9910991114595754,-0.1331260806835683,178.36945072189718,1.8583132206288508,,,,,,,,,,,,,,,,
113,13.210826026595274,-0.9906939570225101,0.13610800765937275,173.78885547687412,1.9292117678595504,16.693255196743973,-0.9903249951388094,-0.13876728192454035,178.42804591932622,1.9175365752775297,,,,,,,,,,,,,,,,
114,12.887062402250214,-0.9926220297890789,0.12124974335287,172.6465642822052,1.913059331455047,16.582819887919246,-0.9889131066187142,-0.14849507032281137,178.08634265894815,1.922249070382227,,,,,,,,,,,,,,,,
115,13.363668313111964,-0.9923657440397256,0.12332982537225815,173.93614063316502,1.9177743454659983,15.996763815487725,-0.9892346523066445,-0.14633834155596534,178.17072747462663,1.9507586510905068,,,,,,,,,,,,,,,,
116,14.089548860704898,-0.9912597915364749,0.1319244872650909,174.61675211415132,1.9307556834886657,16.47378203927031,-0.9877315266155461,-0.15616155141349822,178.66430896621546,1.9493974261407123,1.2660282277070731,-1.7367084656950877,1.2660282277070731,0.20821070465797342,0.7152723972600153,1.2895241033113465,1.5014350367280056,1.2500005208126441,,,,,,,,
117,14.184954991265306,-0.9927077121539388,0.12054593805744215,173.70540174800215,1.8809296052810929,15.3892754386396,-0.9879206709837992,-0.15496018553715105,179.36301945694058,1.9535026798214785,,,,,,,,,,,,,,,,
118,14.236927251442815,-0.9922800043418907,0.12401729499527388,173.8982985451342,1.8690848689356248,15.446074465822175,-0.98733176990534,-0.15866955880084452,179.49031152511446,1.9210282840000317,,,,,,,,,,,,,,,,
119,13.721857982486366,-0.9927280206263858,0.12037879397134436,173.66582382665194,1.8656448553554932,16.556828335135883,-0.9849348272525182,-0.1729260911348745,178.76309779803202,1.9453826735460251,,,,,,,,,,,,,,,,
120,13.912444876643935,-0.9928916521969257,0.11902154643491417,174.30347275854453,1.891274072417883,16.51736200689163,-0.9846106448573487,-0.17476218735171825,178.61192430444092,1.9652723368729244,,,,,,,,,,,,,,,,
121,12.999824690236768,-0.9943408413650069,0.10623705290662823,173.87757080896873,1.8383529637942895,15.985617729433132,-0.9864991821606773,-0.163766139694034,178.00342261297166,1.9348998868055018,,,,,,,,,,,,,,,,
122,12.862263116011654,-0.992316116737141,0.12372834328610363,176.24705514982568,1.915636435918562,16.25069662744675,-0.9876367839619076,-0.15675937301799336,179.6726423913746,1.9678357154873063,,,,,,,,,,,,,,,,
123,12.721869983705714,-0.9928604905202578,0.11928096065762685,174.80585608329028,1.9179625935532025,14.86830814309111,-0.9902052714436103,-0.13961904193954444,176.43271430632512,1.9659063389062514,,,,,,,,,,,,,,,,
124,13.373605677285543,-0.9924535172057299,0.12262138847329117,175.73934021162836,1.9229803536266354,15.065042232747027,-0.9887645498328387,-0.14948091159210058,177.31721841508462,2.01663548590796,,,,,,,,,,,,,,,,
125,12.592705139606755,-0.9934427387440014,0.11433094562397035,175.7675626811499,1.8605277031581307,15.52064240727016,-0.9885419234139587,-0.1509463235527069,177.3773994230992,1.9786433694095187,,,,,,,,,,,,,,,,
126,12.63790586466001,-0.992267500291697,0.12411723824847021,175.7235553348889,1.8791603141758304,16.118125828246285,-0.9889261574494165,-0.14840842141725497,177.99094781695146,1.9591107789685898,,,,,,,,,,,,,,,,
127,12.899840095141219,-0.991933965707809,0.12675513811866376,175.906558417374,1.9098258283090068,16.326606937324865,-0.9866251422602983,-0.16300562833455984,178.739794589522,1.9513170613602588,,,,,,,,,,,,,,,,
128,14.225364132362325,-0.9895179403048495,0.1444101946599889,178.09224727964104,1.9154126393523623,16.269444778637894,-0.9870815385954432,-0.16021837868310349,179.18558688623932,1.9451833447149542,,,,,,,,,,,,,,,,
129,13.766443692770501,-0.9901825839077008,0.13977976030613373,177.57024440240008,1.9158431128323026,16.13993515080344,-0.9871231195090268,-0.1599621257136709,178.73759325550836,1.914314491894907,,,,,,,,,,,,,,,,
130,15.026739847221087,-0.9867427327762052,0.1622922536968925,178.81058764906072,1.9108320937232148,17.63322769435245,-0.9825176419453556,-0.18616936451194854,178.09442187038115,1.8725640173533071,,,,,,,,,,,,,,,,
131,15.074097922255614,-0.9870777832811848,0.1602414514156573,178.45995034216568,1.902600621591393,17.645187140104714,-0.9820149638389483,-0.1888030576627807,178.58361433629608,1.865683237745146,,,,,,,,,,,,,,,,
132,15.511180429396633,-0.9870121060102997,0.1606458715046648,178.68231665371758,1.8908028576677303,17.657526836647087,-0.9825116679965037,-0.18620058704042744,179.10790023021343,1.8403739700265414,,,,,,,,,,,,,,,,
133,14.333251508226205,-0.9896167094859236,0.14373124820735497,178.92579285747033,1.9274706526932273,15.936186465935139,-0.9884228925102495,-0.15172393940696266,178.33781832134443,1.8597728192321765,,,,,,,,,,,,,,,,
134,14.474319240596028,-0.9888617168094715,0.14883677290793665,179.45454492865514,1.9362622772730689,16.842436771870936,-0.9878725492468694,-0.1552669520844838,178.7292655954795,1.865769084357796,,,,,,,,,,,,,,,,
135,14.323308545454468,-0.9898192377115277,0.14232991912346848,179.05375043664125,1.945533241781434,15.969694792089308,-0.9888421077785307,-0.14896731315806241,178.48697784071334,1.8682275920903615,,,,,,,,,,,,,,,,
136,14.514396074763315,-0.9893327091103173,0.1456732989685974,178.69027911941404,1.9188746767181906,15.813196702027566,-0.9884287152068356,-0.15168566070281103,179.54491163993254,1.8662408707424247,,,,,,,,,,,,,,,,
137,14.107629778980227,-0.9902026213470616,0.13963755831451513,179.0792311534595,1.919494022560051,15.859016925024097,-0.9880687086356738,-0.1540133691790028,179.88159850298106,1.902722713928428,,,,,,,,,,,,,,,,
138,14.280079683017423,-0.9899319426161369,0.1415439646355694,178.99295320848688,1.91860776580527,15.428086891219031,-0.9886232503472843,-0.15041294137976055,179.31078279349936,1.88851575723089,,,,,,,,,,,,,,,,
139,13.322367188004156,-0.9918229174835707,0.12762139092615532,177.63222611312275,1.9413751820306742,15.274118972886885,-0.9896601727388666,-0.1434317324975968,179.49899447657995,1.9168109757040563,,,,,,,,,,,,,,,,
140,16.63367430823831,-0.9826138164940869,0.18566128648515443,177.44128510862697,1.8902435912230457,16.978192752208937,-0.9843473418761632,-0.17623939749892967,177.24562896380888,1.8559883577695837,,,,,,,,,,,,,,,,
141,16.52474213110012,-0.9829874806648109,0.18367254000285732,178.35946066415715,1.8848123945726056,17.450904560064654,-0.9830019965849845,-0.18359493444583377,176.38973667398534,1.8879720477140267,,,,,,,,,,,,,,,,
