% # columns="iteration, evaluation, void, void, void, xmean", seed=905036, Mon Dec 15 12:42:40 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 0.5112752759050077 1.8939336531621873
2 12 0 0 0 0.5395965677357621 1.954050518563745
3 18 0 0 0 0.6510572998132172 1.9393909138571723
4 24 0 0 0 0.655033178944944 1.9043088609232874
5 30 0 0 0 0.6163535578983775 1.840696902770194
6 36 0 0 0 0.6179924601249184 1.8677059425248617
7 42 0 0 0 0.6586062637738628 1.8224693973726491
8 48 0 0 0 0.6412299612001138 1.859502037295628
9 54 0 0 0 0.6542715687304361 1.8297517563505907
10 60 0 0 0 0.6499485669228627 1.7973278481868005
11 66 0 0 0 0.6605005191766058 1.7939849170605826
12 72 0 0 0 0.6661854091546326 1.7934528170838124
13 78 0 0 0 0.676113055484969 1.7868677906213883
14 84 0 0 0 0.6599541920878589 1.7721318279686473
15 90 0 0 0 0.6560614152081395 1.7817276719410804
16 96 0 0 0 0.6616539471195487 1.7709958506648502
17 102 0 0 0 0.6727679400613623 1.7739410116283651
18 108 0 0 0 0.6715524199265144 1.7750963560538298
19 114 0 0 0 0.6723452607811233 1.7700785118451798
20 120 0 0 0 0.6726495326677915 1.7629352061073504
21 126 0 0 0 0.6788696044099717 1.7626707426471535
22 132 0 0 0 0.676159231402826 1.7673754496290808
23 138 0 0 0 0.6763585161991742 1.7630395186765773
24 144 0 0 0 0.6761090809707999 1.764732801889103
25 150 0 0 0 0.6773780962687678 1.7630195484007711
26 156 0 0 0 0.6770463625906128 1.7648989799849788
27 162 0 0 0 0.6784219452868218 1.764795479407581
28 168 0 0 0 0.6799602607343227 1.7641520136969249
29 174 0 0 0 0.6797572173297749 1.761633190147007
30 180 0 0 0 0.6811995615156496 1.7611826909177974
31 186 0 0 0 0.6829100565166851 1.761481316270181
32 192 0 0 0 0.6805252052401131 1.7622934070858085
33 198 0 0 0 0.6796416245438839 1.761406975642123
34 204 0 0 0 0.6788891293522105 1.7615383847593595
35 210 0 0 0 0.6799251908075666 1.7606711059159996
36 216 0 0 0 0.6794956979761929 1.7612631660488447
37 222 0 0 0 0.6801636922809343 1.7609959321795867
38 228 0 0 0 0.6805722562603261 1.7608755269523542
39 234 0 0 0 0.6812189013880762 1.7607655784364886
40 240 0 0 0 0.6811567906385866 1.7609203116836547
41 246 0 0 0 0.6814041643408375 1.7603930259152696
42 252 0 0 0 0.6811256745661018 1.7606374341661104
43 258 0 0 0 0.6812466045477859 1.760912633455565
44 264 0 0 0 0.6818998027975693 1.7605078862668755
45 270 0 0 0 0.6813461738998924 1.7604521783529776
46 276 0 0 0 0.6814978356360226 1.760580022492487
47 282 0 0 0 0.6817568629528811 1.7603501246804432
48 288 0 0 0 0.6817482441234166 1.7602688252892404
49 294 0 0 0 0.6819023803256873 1.760294530393291
50 300 0 0 0 0.6819896132002744 1.7601729548142038
