% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=905036, Mon Dec 15 12:42:40 2025
1 6 0.025210459693995015 0.025210459693995015 0.025210459693995015 0.025210459693995015 0.9873143067463396 1.0125267698653677
2 12 -0.005133065648716588 -0.005133065648716588 -0.005133065648716588 -0.005133065648716588 0.9873143067463396 1.0125267698653677
3 18 0.1199085203195431 0.1199085203195431 0.1199085203195431 0.1199085203195431 0.9381319095310942 1.058257303456746
4 24 0.03927276159900595 0.03927276159900595 0.03927276159900595 0.03927276159900595 0.9381319095310942 1.058257303456746
5 30 0.05866218044394494 0.05866218044394494 0.05866218044394494 0.05866218044394494 0.970225653936266 1.0289131063622161
6 36 0.006991791180457596 0.006991791180457596 0.006991791180457596 0.006991791180457596 0.970225653936266 1.0289131063622161
7 42 -0.24466194365682986 -0.24466194365682986 -0.24466194365682986 -0.24466194365682986 0.8691018676445071 1.1156441832667034
8 48 -0.15548195923614838 -0.15548195923614838 -0.15548195923614838 -0.15548195923614838 0.8691018676445071 1.1156441832667034
9 54 -0.1313541398550448 -0.1313541398550448 -0.1313541398550448 -0.1313541398550448 0.9320117274717928 1.0636513243798669
10 60 -0.17279916170992798 -0.17279916170992798 -0.17279916170992798 -0.17279916170992798 0.9320117274717928 1.0636513243798669
11 66 -0.18820563853492916 -0.18820563853492916 -0.18820563853492916 -0.18820563853492916 0.9009963160108209 1.0900484569664457
12 72 -0.10490034291166375 -0.10490034291166375 -0.10490034291166375 -0.10490034291166375 0.9009963160108209 1.0900484569664457
13 78 -0.1890627667937447 -0.1890627667937447 -0.1890627667937447 -0.1890627667937447 0.9005205345833349 1.0904415467111224
14 84 0.06281056994725048 0.06281056994725048 0.06281056994725048 0.06281056994725048 0.9005205345833349 1.0904415467111224
15 90 0.04428906939755967 0.04428906939755967 0.04428906939755967 0.04428906939755967 0.9776046903541534 1.0219046283276925
